tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0102943,movie,Slacker,Slacker,0,1990,97,"Comedy,Drama",7.0,24117
tt0102945,movie,Sleeping with the Enemy,Sleeping with the Enemy,0,1991,99,"Drama,Thriller",6.3,67369
tt0102951,movie,Soapdish,Soapdish,0,1991,97,"Comedy,Romance",6.6,18141
tt0102975,movie,Star Trek VI: The Undiscovered Country,Star Trek VI: The Undiscovered Country,0,1991,110,"Action,Adventure,Sci-Fi",7.2,82385
tt0102984,movie,Stone Cold,Stone Cold,0,1991,92,"Action,Crime,Drama",6.1,10456
tt0103003,movie,Suburban Commando,Suburban Commando,0,1991,90,"Action,Comedy,Sci-Fi",4.6,11465
tt0103016,movie,Switch,Switch,0,1991,103,"Comedy,Fantasy",5.8,10782
tt0103030,movie,High Heels,Tacones lejanos,0,1991,112,"Comedy,Drama,Romance",7.0,17949
tt0103060,movie,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,0,1991,88,"Action,Adventure,Comedy",6.0,62117
tt0103064,movie,Terminator 2: Judgment Day,Terminator 2: Judgment Day,0,1991,137,"Action,Adventure,Sci-Fi",8.6,1212571
tt0103074,movie,Thelma & Louise,Thelma & Louise,0,1991,130,"Adventure,Crime,Drama",7.6,179634
tt0103112,movie,Toy Soldiers,Toy Soldiers,0,1991,111,"Action,Drama,Thriller",6.6,25878
tt0103129,movie,Truly Madly Deeply,Truly Madly Deeply,0,1990,106,"Comedy,Drama,Fantasy",7.2,10228
tt0103130,movie,Trust,Trust,0,1990,107,"Comedy,Crime,Drama",7.4,12574
tt0103241,movie,What About Bob?,What About Bob?,0,1991,99,Comedy,7.0,75917
tt0103247,movie,White Fang,White Fang,0,1991,107,"Adventure,Drama,Family",6.7,23034
tt0103285,movie,Once Upon a Time in China,Wong Fei-Hung,0,1991,134,Action,7.2,20434
tt0103594,movie,1492: Conquest of Paradise,1492: Conquest of Paradise,0,1992,154,"Adventure,Biography,Drama",6.4,33676
tt0103596,movie,3 Ninjas,3 Ninjas,0,1992,84,"Action,Comedy,Family",5.3,23822
tt0103639,movie,Aladdin,Aladdin,0,1992,90,"Adventure,Animation,Comedy",8.0,481126
tt0103644,movie,Alien³,Alien³,0,1992,114,"Action,Horror,Sci-Fi",6.4,336005
tt0103671,movie,American Me,American Me,0,1992,125,"Biography,Crime,Drama",7.1,10833
tt0103747,movie,The Babe,The Babe,0,1992,115,"Biography,Drama,Sport",5.9,11747
tt0103759,movie,Bad Lieutenant,Bad Lieutenant,0,1992,96,"Crime,Drama,Thriller",7.0,49771
tt0103767,movie,Baraka,Baraka,0,1992,96,Documentary,8.5,41695
tt0103772,movie,Basic Instinct,Basic Instinct,0,1992,127,"Drama,Mystery,Thriller",7.1,226548
